Timestamps,subclass,x_center,x_length,y_center,y_length,z_center,z_length,z_rotation,bin_idx
1707257961.7014658,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.240575472513843,1.11,-17.00785043504504,1.15,-3.2204910384284124,1.68,-100.6227905198813,000013
1707257961.7014658,VRU_Adult_Using_Bicycle,22.82256179385715,0.96,-25.362319204542374,1.64,-2.754261447323693,1.65,-128.5565055776109,000013
1707257961.801466,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.322757677598443,1.11,-16.83029192144221,1.15,-3.1045403697273954,1.68,-150.2229381818241,000014
1707257961.801466,VRU_Adult_Using_Bicycle,22.82878069196429,0.96,-25.34358912876674,1.64,-2.67346487045288,1.65,-125.63930700826737,000014
1707257961.901466,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.29451036453248,1.11,-16.97404670715333,1.15,-3.178977012634277,1.68,-102.40225472663084,000015
1707257961.901466,VRU_Adult_Using_Bicycle,22.845795249938966,0.96,-25.34836564064026,1.64,-2.7239646792411802,1.65,-130.59552173274923,000015
1707257962.0014658,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.369597738439396,1.11,-16.825533433394003,1.15,-3.10379258069125,1.68,-152.11165130127904,000016
1707257962.0014658,VRU_Adult_Using_Bicycle,22.82755184173584,0.96,-25.352171280804804,1.64,-2.698719929246341,1.65,-126.17204916769111,000016
1707257962.101466,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.401206864251039,1.11,-16.792560153537334,1.15,-3.0330745908949117,1.68,-137.04788453317153,000017
1707257962.101466,VRU_Adult_Using_Bicycle,22.7981481022305,0.96,-25.373900996314156,1.64,-2.781585315863291,1.65,-128.14974380836912,000017
1707257962.2014658,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.423223495483406,1.11,-16.782371520996104,1.15,-3.0535295009613037,1.68,50.58802794732902,000018
1707257962.2014658,VRU_Adult_Using_Bicycle,22.800046083403796,0.96,-25.36280832058046,1.64,-2.744100471822226,1.65,-129.09048229293023,000018
1707257962.301466,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,23.11747617306917,1.11,-27.37857146885084,1.15,-2.744785925616388,1.68,-72.91270306286236,000019
1707257962.301466,VRU_Adult_Using_Bicycle,22.801720846266978,0.96,-25.384167126246865,1.64,-2.784080669993446,1.65,-129.83274318079498,000019
1707257962.301466,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.443269358740917,1.11,-16.77231385972765,1.15,-3.031838628980847,1.68,-150.17783051516636,000019
1707257962.401466,VRU_Adult_Using_Bicycle,22.788389958833395,0.96,-25.364715074238024,1.64,-2.768730194945084,1.65,-130.71702839644388,000020
1707257962.401466,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.48803842067719,1.11,-16.725396633148193,1.15,-2.9715837836265555,1.68,-142.88080138743226,000020
1707257962.5014658,VRU_Adult_Using_Bicycle,22.825865543249883,0.96,-25.35545510956735,1.64,-2.707035353689482,1.65,-127.68104251694797,000021
1707257962.5014658,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.480806010110042,1.11,-16.719800131661554,1.15,-2.955760308674402,1.68,-152.59378762612312,000021
1707257962.601466,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.5256326198577925,1.11,-16.71008539199829,1.15,-2.939527511596679,1.68,-142.84667969178594,000022
1707257962.601466,VRU_Adult_Using_Bicycle,22.80874195098877,0.96,-25.368517112731933,1.64,-2.737772623697916,1.65,-125.01810043872945,000022
1707257962.7014658,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.544252327510295,1.11,-16.694801603044784,1.15,-2.9501654079982202,1.68,-142.1884804086179,000023
1707257962.7014658,VRU_Adult_Using_Bicycle,22.834307703478583,0.96,-25.32979057575094,1.64,-2.7046952823112744,1.65,-124.45621966747319,000023
1707257962.801466,VRU_Adult_Using_Bicycle,22.80068217097102,0.96,-25.377246753589528,1.64,-2.7550007459279646,1.65,-123.39644671781437,000024
1707257962.801466,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.55987685067314,1.11,-16.684997831072128,1.15,-2.9483040400913767,1.68,-141.53498866114435,000024
1707257962.901466,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.571915558406293,1.11,-16.68042428152902,1.15,-2.9486329214913494,1.68,-145.86186834965477,000025
1707257962.901466,VRU_Adult_Using_Bicycle,22.804040206106084,0.96,-25.37151728178326,1.64,-2.76624183905752,1.65,-129.98251469732247,000025
1707257963.0014658,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.587999343872075,1.11,-16.665769338607788,1.15,-2.9367797672748557,1.68,-157.69781956544634,000026
1707257963.0014658,VRU_Adult_Using_Bicycle,22.954318219965156,0.96,-26.388653581792656,1.64,-2.696823022582313,1.65,-74.40558931138116,000026
1707257963.0014658,VRU_Adult_Using_Bicycle,22.82359918866839,0.96,-25.367460359845847,1.64,-2.751401594706944,1.65,-123.89089933639553,000026
1707257963.101466,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.592653751373295,1.11,-16.689739227294925,1.15,-2.966988245646158,1.68,-149.92278564266445,000027
1707257963.101466,VRU_Adult_Using_Bicycle,22.83164423162287,0.96,-25.320606751875445,1.64,-2.679823644233472,1.65,-120.80630794548992,000027
1707257963.2014658,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.683340966701513,1.11,-16.687357187271118,1.15,-3.12464854121208,1.68,12.672676774084978,000028
1707257963.2014658,VRU_Adult_Using_Bicycle,22.78666727166427,0.96,-25.361480913664167,1.64,-2.722747802734374,1.65,-116.89196216034645,000028
1707257963.301466,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.60103861490886,1.11,-16.71071529388428,1.15,-2.936699867248533,1.68,-150.8647256710708,000029
1707257963.301466,VRU_Adult_Using_Bicycle,22.81203084833482,0.96,-25.357865501852597,1.64,-2.7198416765998386,1.65,-126.77633405256907,000029
1707257963.401466,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.587593460083011,1.11,-16.73519172668457,1.15,-2.9571989059448227,1.68,-152.83364204081738,000030
1707257963.401466,VRU_Adult_Using_Bicycle,22.802836577097576,0.96,-25.358080440097385,1.64,-2.739995843834347,1.65,-128.57109682878536,000030
1707257963.5014658,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.657573143641161,1.11,-16.79660415649414,1.15,-2.940171758333841,1.68,44.317412023711,000031
1707257963.5014658,VRU_Adult_Using_Bicycle,22.825327704934512,0.96,-25.34866950091194,1.64,-2.6678809769013343,1.65,-122.60806928147593,000031
1707257963.5014658,VRU_Adult_Using_Bicycle,22.84458732604981,0.96,-25.330517133076988,1.64,-2.7451096296310427,1.65,57.94567989296725,000031
1707257963.5014658,VRU_Adult_Using_Bicycle,22.656869594867416,0.96,-25.515954090998733,1.64,-2.706083554487962,1.65,-124.4587893835538,000031
1707257963.601466,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.76197415590287,1.11,-16.80013155937196,1.15,-3.111748814582825,1.68,19.41564393094105,000032
1707257963.601466,VRU_Adult_Using_Bicycle,22.810955614657015,0.96,-25.3672967343717,1.64,-2.736484173181894,1.65,-127.65671494541954,000032
1707257963.7014658,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.650539716084807,1.11,-16.838439941406264,1.15,-2.952060739199321,1.68,18.974950922859456,000033
1707257963.7014658,VRU_Adult_Using_Bicycle,22.835553359985354,0.96,-25.35056882585798,1.64,-2.708968019485473,1.65,-124.7728884612726,000033
1707257963.801466,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.772576475143438,1.11,-16.872579002380377,1.15,-3.1788645982742314,1.68,20.131110388324725,000034
1707257963.801466,VRU_Adult_Using_Bicycle,22.797067356109622,0.96,-25.367896461486815,1.64,-2.758017015457152,1.65,-132.7964786607087,000034
1707257963.801466,VRU_Adult_Using_Bicycle,22.85397472381592,0.96,-25.32580973307292,1.64,-2.7817892392476407,1.65,46.947705176645684,000034
1707257963.801466,VRU_Adult_Using_Bicycle,22.644431304931643,0.96,-25.498635991414393,1.64,-2.774821472167969,1.65,-128.38139586244301,000034
1707257963.901466,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.7056211829185575,1.11,-16.90910243988038,1.15,-2.9586179554462437,1.68,-146.58174498690366,000035
1707257963.901466,VRU_Adult_Using_Bicycle,22.833284320253316,0.96,-25.347562500924774,1.64,-2.728074435031775,1.65,-124.21623295136149,000035
1707257963.901466,VRU_Adult_Using_Bicycle,22.85323750972748,0.96,-25.340282857418064,1.64,-2.7814608737826347,1.65,56.66884019906188,000035
1707257963.901466,VRU_Adult_Using_Bicycle,22.656492966872,0.96,-25.513658963716953,1.64,-2.70653746678279,1.65,-123.84411745527282,000035
1707257964.0014658,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.722055912017829,1.11,-16.922035762241908,1.15,-2.9729498795100606,1.68,-151.70791915790056,000036
1707257964.0014658,VRU_Adult_Using_Bicycle,22.811367143903464,0.96,-25.335146931239535,1.64,-2.732315962655203,1.65,-122.38551329488078,000036
1707257964.0014658,VRU_Adult_Using_Bicycle,22.830862352924967,0.96,-25.32158414779171,1.64,-2.820810956339683,1.65,-113.30239138498382,000036
1707257964.0014658,VRU_Adult_Using_Bicycle,22.655121667044508,0.96,-25.50863633837019,1.64,-2.7487163714000156,1.65,-125.3704060469054,000036
1707257964.101466,VRU_Adult_Using_Non-Motorized_Device/Prop_Other,7.6110003590583855,1.11,-17.117626428604126,1.15,-3.1588294804096213,1.68,-115.29713025241134,000037
1707257964.101466,VRU_Adult_Using_Bicycle,22.807454668242357,0.96,-25.36551232173525,1.64,-2.738276711825666,1.65,-123.7228150180668,000037
1707257964.101466,VRU_Adult_Using_Bicycle,22.842251396179204,0.96,-25.322909100850428,1.64,-2.744997016588847,1.65,60.37041957061941,000037
1707257964.101466,VRU_Adult_Using_Bicycle,22.59521021161761,0.96,-25.560308183942528,1.64,-2.8368007455553332,1.65,-126.00507384574453,000037
