Timestamps,subclass,x_center,x_length,y_center,y_length,z_center,z_length,z_rotation
1706718472.169418,VRU_Adult_Using_Bicycle,9.194488661629816,0.89,-5.43340669359479,1.53,-2.952296427318026,1.38,285.8930430555744
1706718472.269418,VRU_Adult_Using_Bicycle,9.223992347717292,0.89,-5.409146997663716,1.53,-2.9513243569268117,1.38,291.4136004796325
1706718472.369418,VRU_Adult_Using_Bicycle,9.163409423828131,0.89,-5.425580310821536,1.53,-2.9655082702636704,1.38,274.0786962041723
1706718472.4694178,VRU_Adult_Using_Bicycle,9.197238564491276,0.89,-5.427806973457336,1.53,-2.957061350345612,1.38,287.6246727891483
1706718472.4694178,VRU_Adult,-0.4315969392657209,0.83,-10.770160102844244,0.75,-3.442618632316589,1.59,359.18688342949025
1706718472.569418,VRU_Adult_Using_Bicycle,9.185697317123418,0.89,-5.432000339031223,1.53,-2.95863229036331,1.38,289.7134107829134
1706718472.569418,VRU_Adult,-0.5012053310871111,0.83,-15.103581619262696,0.75,-3.2697457313537583,1.59,105.38325841516718
1706718472.669418,VRU_Adult_Using_Bicycle,9.183789889017746,0.89,-5.437045812606816,1.53,-2.9533942143122345,1.38,282.2880823649405
1706718472.569418,VRU_Adult,-0.5012053310871111,0.83,-15.103581619262696,0.75,-3.2697457313537583,1.59,105.38325841516718
1706718472.769418,VRU_Adult_Using_Bicycle,9.158650875091558,0.89,-5.4412156740824384,1.53,-2.969620744387308,1.38,280.6141469260128
1706718472.9694178,VRU_Adult,-0.4030574808518031,0.83,-15.130966663360605,0.75,-3.293731530507404,1.59,92.84272760666384
1706718472.869418,VRU_Adult_Using_Bicycle,9.154966545104989,0.89,-5.4262786865234345,1.53,-2.969719028472899,1.38,267.8759003291007
1706718472.9694178,VRU_Adult,-0.4030574808518031,0.83,-15.130966663360605,0.75,-3.293731530507404,1.59,92.84272760666384
1706718472.9694178,VRU_Adult_Using_Bicycle,9.202837807791578,0.89,-5.419070448194229,1.53,-2.9547228813171382,1.38,281.18386944974503
1706718472.9694178,VRU_Adult,-0.4030574808518031,0.83,-15.130966663360605,0.75,-3.293731530507404,1.59,92.84272760666384
1706718473.069418,VRU_Adult_Using_Bicycle,9.212530877855096,0.89,-5.404949029286706,1.53,-2.9518629444970013,1.38,301.92172338489115
1706718472.9694178,VRU_Adult,-0.4030574808518031,0.83,-15.130966663360605,0.75,-3.293731530507404,1.59,92.84272760666384
1706718473.169418,VRU_Adult_Using_Bicycle,9.164945602416998,0.89,-5.446176597050262,1.53,-2.9728218487330835,1.38,295.5954247111515
1706718473.169418,VRU_Adult,-0.3468943864107062,0.83,-15.164245223999028,0.75,-3.033699178695677,1.59,266.98769672417984
1706718473.269418,VRU_Adult_Using_Bicycle,9.154942131042484,0.89,-5.428985023498532,1.53,-2.9656078815460187,1.38,276.71344990598624
1706718473.269418,VRU_Adult,-0.3137335553765248,0.83,-15.181912422180176,0.75,-3.0370723605155936,1.59,248.3793795304811
1706718473.369418,VRU_Adult_Using_Bicycle,9.16388591130575,0.89,-5.447143952051801,1.53,-2.966602325439452,1.38,291.3971901584681
1706718473.369418,VRU_Adult,-0.3343766242265603,0.83,-15.199053001403811,0.75,-3.040602493286132,1.59,260.29898764940083
1706718473.4694178,VRU_Adult_Using_Bicycle,9.16678483145578,0.89,-5.435979706900459,1.53,-2.966277531215122,1.38,293.0060238048385
1706718473.4694178,VRU_Adult,-0.3277473598718573,0.83,-15.217247390747072,0.75,-3.0442110538482643,1.59,255.124506698606
1706718473.569418,VRU_Adult_Using_Bicycle,9.219181418418891,0.89,-5.4087308049202,1.53,-2.9491192102432238,1.38,303.31763643184246
1706718473.569418,VRU_Adult,-0.3490675687789868,0.83,-15.217429876327516,0.75,-3.0443286895751944,1.59,261.2605449447612
1706718473.669418,VRU_Adult_Using_Bicycle,9.19458961486817,0.89,-5.426282644271852,1.53,-2.95772886276245,1.38,287.28403333585743
1706718473.669418,VRU_Adult,-0.4221769750118185,0.83,-15.219550704956054,0.75,-3.361703634262084,1.59,83.86795019825857
1706718473.769418,VRU_Adult_Using_Bicycle,9.166216850280769,0.89,-5.432076930999756,1.53,-2.96726312637329,1.38,279.25423116001315
1706718473.669418,VRU_Adult,-0.4221769750118185,0.83,-15.219550704956054,0.75,-3.361703634262084,1.59,83.86795019825857
1706718473.869418,VRU_Adult_Using_Bicycle,9.2018085207258,0.89,-5.434965133666994,1.53,-2.962899957384381,1.38,292.9908648887779
1706718473.869418,VRU_Adult,-0.3438268244266426,0.83,-15.23965377807618,0.75,-3.048760938644408,1.59,86.48503751267639
1706718473.9694178,VRU_Adult_Using_Bicycle,9.200191770281116,0.89,-5.432007925851009,1.53,-2.955954790115356,1.38,288.80554232422446
1706718473.9694178,VRU_Adult,-0.6007878333330088,0.83,-15.262830972671509,0.75,-3.3640484809875475,1.59,96.49681101801455
1706718474.069418,VRU_Adult_Using_Bicycle,9.16005452473959,0.89,-5.446645180384316,1.53,-2.9704202413558947,1.38,280.8991741463245
1706718474.169418,VRU_Adult,-0.3798707187175723,0.83,-15.2325101852417,0.75,-3.0475058555603005,1.59,263.9014989563608
