Timestamps,subclass,x_center,x_length,y_center,y_length,z_center,z_length,z_rotation,bin_idx
1708394337.2777169,VRU_Adult_Using_Bicycle,23.12252900094697,0.96,-25.161999789151277,1.64,-2.9350991176836416,1.65,79.13356013255292,000013
1708394337.377717,VRU_Adult_Using_Bicycle,23.24688046773275,0.96,-25.013944880167642,1.64,-3.086270523071288,1.65,89.86507767508854,000014
1708394337.877717,VRU_Adult_Using_Bicycle,23.142036130351407,0.96,-25.162140692434004,1.64,-2.846487998962402,1.65,81.4722967083506,000019
1708394338.2777169,VRU_Adult_Using_Bicycle,23.14335386214718,0.96,-25.136930281116115,1.64,-2.927578256976219,1.65,81.70418751771734,000023
1708394338.377717,VRU_Adult_Using_Bicycle,23.237686157226566,0.96,-25.076751136779784,1.64,-3.0879734873771656,1.65,89.09285270240889,000024
1708394338.477717,VRU_Adult_Using_Bicycle,23.146247182573592,0.96,-25.148261342729842,1.64,-2.9440348318644927,1.65,81.80049233093442,000025
1708394338.5777168,VRU_Adult_Using_Bicycle,23.149658080070253,0.96,-25.16451749493999,1.64,-2.873873502977432,1.65,82.89953189104257,000026
1708394338.677717,VRU_Adult_Using_Bicycle,23.188041845957443,0.96,-25.133750597635906,1.64,-2.91094868381818,1.65,84.57663394042233,000027
1708394338.7777169,VRU_Adult_Using_Bicycle,23.240889029069383,0.96,-25.071261579340156,1.64,-3.0685976526953946,1.65,89.62446898155332,000028
1708394338.877717,VRU_Adult_Using_Bicycle,23.209024810791018,0.96,-25.03959875106812,1.64,-3.052952325344085,1.65,87.4618158864769,000029
1708394339.477717,VRU_Adult_Using_Bicycle,23.17158467429025,0.96,-25.129843848092214,1.64,-2.8979361653327937,1.65,81.12563364484052,000035
1708394339.977717,VRU_Adult_Using_Bicycle,23.11625590468898,0.96,-25.143239974975586,1.64,-2.977695703506469,1.65,81.5095019812373,000040
1708394340.0777168,VRU_Adult_Using_Bicycle,23.13759389416925,0.96,-25.162171067862676,1.64,-2.870042093868913,1.65,81.04744400151604,000041
1708394340.677717,VRU_Adult_Using_Bicycle,23.185887336730957,0.96,-25.103789936412465,1.64,-2.9770806919444683,1.65,85.31064011366249,000047
1708394341.477717,VRU_Adult_Using_Bicycle,23.201400661468508,0.96,-25.114085483551026,1.64,-2.9838048934936516,1.65,86.70771942952159,000055
1708394341.677717,VRU_Adult_Using_Bicycle,23.248918771743778,0.96,-25.02952861785889,1.64,-3.0791689157485953,1.65,91.28870551029827,000057
1708394341.7777169,VRU_Adult_Using_Bicycle,23.181110308720516,0.96,-25.077704356266903,1.64,-2.971762858904324,1.65,86.07466921793252,000058
1708394342.0777168,VRU_Adult_Using_Bicycle,23.152831967671712,0.96,-25.193927001953124,1.64,-2.8528010288874293,1.65,80.22189433394414,000061
1708394342.177717,VRU_Adult_Using_Bicycle,23.17200436799423,0.96,-25.08336755503779,1.64,-3.0186134628627603,1.65,85.92721103788386,000062
1708394343.2777169,VRU_Adult_Using_Bicycle,23.23859903547499,0.96,-25.01882478925917,1.64,-3.150199572245279,1.65,92.8187802282619,000073
1708394343.377717,VRU_Adult_Using_Bicycle,23.123198032379154,0.96,-25.158258140087128,1.64,-2.910451509058475,1.65,83.99913449875925,000074
1708394343.477717,VRU_Adult_Using_Bicycle,23.15779936313629,0.96,-25.170771956443787,1.64,-2.87248745560646,1.65,84.68990824658493,000075
1708394343.5777168,VRU_Adult_Using_Bicycle,23.122875467936197,0.96,-25.17377452850342,1.64,-2.8775958220163975,1.65,83.35596422322314,000076
1708394343.677717,VRU_Adult_Using_Bicycle,23.15601405390987,0.96,-25.18590799967448,1.64,-2.830730464723374,1.65,80.48941942693288,000077
1708394343.7777169,VRU_Adult_Using_Bicycle,23.118506772177565,0.96,-25.151916980743408,1.64,-2.947794522557939,1.65,80.80604965058656,000078
1708394343.877717,VRU_Adult_Using_Bicycle,23.082275061771792,0.96,-25.225930575666755,1.64,-2.922339488720071,1.65,75.68426298342803,000079
